Time,Sample,Phase
591, 0.993592, 0.268481
592, 0.993266, 0.268934
593, 0.992932, 0.269388
594, 0.992589, 0.269841
595, 0.992239, 0.270295
596, 0.991881, 0.270748
597, 0.991514, 0.271202
598, 0.99114, 0.271655
599, 0.990757, 0.272109
600, 0.990367, 0.272563
601, 0.989968, 0.273016
602, 0.989562, 0.27347
603, 0.989147, 0.273923
604, 0.988724, 0.274377
605, 0.988294, 0.27483
606, 0.987855, 0.275284
607, 0.987408, 0.275737
608, 0.986953, 0.276191
609, 0.986491, 0.276644
610, 0.98602, 0.277098
611, 0.985541, 0.277551
612, 0.985054, 0.278005
613, 0.984559, 0.278458
614, 0.984057, 0.278912
615, 0.983546, 0.279365
616, 0.983027, 0.279819
617, 0.9825, 0.280272
618, 0.981966, 0.280726
619, 0.981423, 0.281179
620, 0.980872, 0.281633
621, 0.980314, 0.282086
622, 0.979747, 0.28254
623, 0.979172, 0.282993
624, 0.97859, 0.283447
625, 0.977999, 0.2839
626, 0.977401, 0.284354
627, 0.976795, 0.284807
628, 0.97618, 0.285261
629, 0.975558, 0.285714
630, 0.974928, 0.286168
631, 0.97429, 0.286621
632, 0.973644, 0.287075
633, 0.97299, 0.287528
634, 0.972329, 0.287982
635, 0.971659, 0.288435
636, 0.970982, 0.288889
637, 0.970296, 0.289342
638, 0.969603, 0.289796
639, 0.968902, 0.290249
640, 0.968193, 0.290703
641, 0.967476, 0.291156
642, 0.966751, 0.29161
643, 0.966019, 0.292063
644, 0.965278, 0.292517
645, 0.96453, 0.29297
646, 0.963774, 0.293424
647, 0.96301, 0.293877
648, 0.962238, 0.294331
649, 0.961459, 0.294784
650, 0.960671, 0.295238
651, 0.959876, 0.295691
652, 0.959073, 0.296145
653, 0.958262, 0.296598
654, 0.957444, 0.297052
655, 0.956618, 0.297505
656, 0.955784, 0.297959
657, 0.954942, 0.298412
658, 0.954092, 0.298866
659, 0.953235, 0.299319
660, 0.95237, 0.299773
661, 0.951497, 0.300226
662, 0.950617, 0.30068
663, 0.949728, 0.301133
664, 0.948832, 0.301587
665, 0.947929, 0.30204
666, 0.947017, 0.302494
667, 0.946098, 0.302947
668, 0.945172, 0.303401
669, 0.944237, 0.303854
670, 0.943295, 0.304308
671, 0.942345, 0.304761
672, 0.941388, 0.305215
673, 0.940423, 0.305668
674, 0.93945, 0.306122
675, 0.93847, 0.306575
676, 0.937482, 0.307029
677, 0.936487, 0.307482
678, 0.935484, 0.307936
679, 0.934473, 0.308389
680, 0.933455, 0.308843
681, 0.932429, 0.309296
682, 0.931395, 0.30975
683, 0.930354, 0.310203
684, 0.929306, 0.310657
685, 0.92825, 0.31111
686, 0.927186, 0.311564
