Time,Sample,Phase
31067, 0.533257, 0.0899695
31067, 1, 0.0899695
31068, 0.535665, 0.090423
31068, 1, 0.090423
31069, 0.538069, 0.0908765
31069, 1, 0.0908765
31070, 0.540469, 0.0913301
31070, 1, 0.0913301
31071, 0.542864, 0.0917836
31071, 1, 0.0917836
31072, 0.545255, 0.0922371
31072, 1, 0.0922371
31073, 0.547641, 0.0926906
31073, 1, 0.0926906
31074, 0.550023, 0.0931441
31074, 1, 0.0931441
31075, 0.552401, 0.0935977
31075, 1, 0.0935977
31076, 0.554774, 0.0940512
31076, 1, 0.0940512
31077, 0.557143, 0.0945047
31077, 1, 0.0945047
31078, 0.559507, 0.0949582
31078, 1, 0.0949582
31079, 0.561866, 0.0954117
31079, 1, 0.0954117
31080, 0.564221, 0.0958652
31080, 1, 0.0958652
31081, 0.566571, 0.0963188
31081, 1, 0.0963188
31082, 0.568917, 0.0967723
31082, 1, 0.0967723
31083, 0.571258, 0.0972258
31083, 1, 0.0972258
31084, 0.573595, 0.0976793
31084, 1, 0.0976793
31085, 0.575927, 0.0981328
31085, 1, 0.0981328
31086, 0.578254, 0.0985863
31086, 1, 0.0985863
31087, 0.580576, 0.0990399
31087, 1, 0.0990399
31088, 0.582894, 0.0994934
31088, 1, 0.0994934
31089, 0.585207, 0.0999469
31089, 1, 0.0999469
31090, 0.587515, 0.1004
31090, 1, 0.1004
31091, 0.589819, 0.100854
31091, 1, 0.100854
31092, 0.592117, 0.101307
31092, 1, 0.101307
31093, 0.594411, 0.101761
31093, 1, 0.101761
31094, 0.5967, 0.102214
31094, 1, 0.102214
31095, 0.598985, 0.102668
31095, 1, 0.102668
31096, 0.601264, 0.103122
31096, 1, 0.103122
31097, 0.603538, 0.103575
31097, 1, 0.103575
31098, 0.605808, 0.104029
31098, 1, 0.104029
31099, 0.608073, 0.104482
31099, 1, 0.104482
31100, 0.610332, 0.104936
31100, 1, 0.104936
31101, 0.612587, 0.105389
31101, 1, 0.105389
31102, 0.614837, 0.105843
31102, 1, 0.105843
31103, 0.617082, 0.106296
31103, 1, 0.106296
31104, 0.619322, 0.10675
31104, 1, 0.10675
31105, 0.621556, 0.107203
31105, 1, 0.107203
31106, 0.623786, 0.107657
31106, 1, 0.107657
31107, 0.626011, 0.10811
31107, 1, 0.10811
31108, 0.62823, 0.108564
31108, 1, 0.108564
31109, 0.630445, 0.109017
31109, 1, 0.109017
31110, 0.632654, 0.109471
31110, 1, 0.109471
31111, 0.634858, 0.109924
31111, 1, 0.109924
31112, 0.637057, 0.110378
31112, 1, 0.110378
31113, 0.639251, 0.110831
31113, 1, 0.110831
31114, 0.64144, 0.111285
31114, 1, 0.111285
31115, 0.643623, 0.111738
31115, 1, 0.111738
31116, 0.645801, 0.112192
31116, 1, 0.112192
31117, 0.647974, 0.112645
31117, 1, 0.112645
31118, 0.650142, 0.113099
31118, 1, 0.113099
31119, 0.652305, 0.113552
31119, 1, 0.113552
31120, 0.654462, 0.114006
31120, 1, 0.114006
31121, 0.656614, 0.114459
31121, 1, 0.114459
31122, 0.65876, 0.114913
31122, 1, 0.114913
31123, 0.660901, 0.115366
31123, 1, 0.115366
31124, 0.663037, 0.11582
31124, 1, 0.11582
31125, 0.665168, 0.116273
31125, 1, 0.116273
31126, 0.667293, 0.116727
31126, 1, 0.116727
31127, 0.669412, 0.117181
31127, 1, 0.117181
31128, 0.671526, 0.117634
31128, 1, 0.117634
31129, 0.673635, 0.118088
31129, 1, 0.118088
31130, 0.675738, 0.118541
31130, 1, 0.118541
31131, 0.677836, 0.118995
31131, 1, 0.118995
31132, 0.679928, 0.119448
31132, 1, 0.119448
31133, 0.682015, 0.119902
31133, 1, 0.119902
31134, 0.684096, 0.120355
31134, 1, 0.120355
31135, 0.686172, 0.120809
31135, 1, 0.120809
31136, 0.688242, 0.121262
31136, 1, 0.121262
31137, 0.690307, 0.121716
31137, 1, 0.121716
31138, 0.692365, 0.122169
31138, 1, 0.122169
31139, 0.694419, 0.122623
31139, 1, 0.122623
31140, 0.696466, 0.123076
31140, 1, 0.123076
31141, 0.698508, 0.12353
31141, 1, 0.12353
31142, 0.700545, 0.123983
31142, 1, 0.123983
31143, 0.702575, 0.124437
31143, 1, 0.124437
31144, 0.7046, 0.12489
31144, 1, 0.12489
31145, 0.706619, 0.125344
31145, 1, 0.125344
31146, 0.708633, 0.125797
31146, 1, 0.125797
31147, 0.71064, 0.126251
31147, 1, 0.126251
31148, 0.712642, 0.126704
31148, 1, 0.126704
31149, 0.714638, 0.127158
31149, 1, 0.127158
31150, 0.716629, 0.127611
31150, 1, 0.127611
31151, 0.718613, 0.128065
31151, 1, 0.128065
31152, 0.720592, 0.128518
31152, 1, 0.128518
31153, 0.722565, 0.128972
31153, 1, 0.128972
31154, 0.724532, 0.129425
31154, 1, 0.129425
31155, 0.726493, 0.129879
31155, 1, 0.129879
31156, 0.728448, 0.130333
31156, 1, 0.130333
31157, 0.730397, 0.130786
31157, 1, 0.130786
31158, 0.732341, 0.13124
31158, 1, 0.13124
31159, 0.734278, 0.131693
31159, 1, 0.131693
31160, 0.736209, 0.132147
31160, 1, 0.132147
31161, 0.738135, 0.1326
31161, 1, 0.1326
31162, 0.740054, 0.133054
31162, 1, 0.133054
31163, 0.741968, 0.133507
31163, 1, 0.133507
31164, 0.743875, 0.133961
31164, 1, 0.133961
31165, 0.745776, 0.134414
31165, 1, 0.134414
31166, 0.747672, 0.134868
31166, 1, 0.134868
31167, 0.749561, 0.135321
31167, 1, 0.135321
31168, 0.751444, 0.135775
31168, 1, 0.135775
31169, 0.753321, 0.136228
31169, 1, 0.136228
31170, 0.755192, 0.136682
31170, 1, 0.136682
31171, 0.757057, 0.137135
31171, 1, 0.137135
31172, 0.758916, 0.137589
31172, 1, 0.137589
31173, 0.760768, 0.138042
31173, 1, 0.138042
31174, 0.762614, 0.138496
31174, 1, 0.138496
31175, 0.764455, 0.138949
31175, 1, 0.138949
31176, 0.766289, 0.139403
31176, 1, 0.139403
31177, 0.768116, 0.139856
31177, 1, 0.139856
31178, 0.769938, 0.14031
31178, 1, 0.14031
31179, 0.771753, 0.140763
31179, 1, 0.140763
31180, 0.773562, 0.141217
31180, 1, 0.141217
31181, 0.775365, 0.14167
31181, 1, 0.14167
31182, 0.777161, 0.142124
31182, 1, 0.142124
31183, 0.778951, 0.142577
31183, 1, 0.142577
31184, 0.780735, 0.143031
31184, 1, 0.143031
31185, 0.782512, 0.143485
31185, 1, 0.143485
31186, 0.784283, 0.143938
31186, 1, 0.143938
31187, 0.786048, 0.144392
31187, 1, 0.144392
31188, 0.787806, 0.144845
31188, 1, 0.144845
31189, 0.789558, 0.145299
31189, 1, 0.145299
31190, 0.791303, 0.145752
31190, 1, 0.145752
31191, 0.793042, 0.146206
31191, 1, 0.146206
31192, 0.794775, 0.146659
31192, 1, 0.146659
31193, 0.796501, 0.147113
31193, 1, 0.147113
31194, 0.798221, 0.147566
31194, 1, 0.147566
31195, 0.799934, 0.14802
31195, 1, 0.14802
31196, 0.801641, 0.148473
31196, 1, 0.148473
31197, 0.803341, 0.148927
31197, 1, 0.148927
31198, 0.805035, 0.14938
31198, 1, 0.14938
31199, 0.806722, 0.149834
31199, 1, 0.149834
31200, 0.808403, 0.150287
31200, 1, 0.150287
31201, 0.810077, 0.150741
31201, 1, 0.150741
31202, 0.811744, 0.151194
31202, 1, 0.151194
31203, 0.813405, 0.151648
31203, 1, 0.151648
31204, 0.815059, 0.152101
31204, 1, 0.152101
31205, 0.816707, 0.152555
31205, 1, 0.152555
31206, 0.818348, 0.153008
31206, 1, 0.153008
31207, 0.819982, 0.153462
31207, 1, 0.153462
31208, 0.82161, 0.153915
31208, 1, 0.153915
31209, 0.823231, 0.154369
31209, 1, 0.154369
31210, 0.824845, 0.154822
31210, 1, 0.154822
31211, 0.826453, 0.155276
31211, 1, 0.155276
31212, 0.828054, 0.155729
31212, 1, 0.155729
31213, 0.829648, 0.156183
31213, 1, 0.156183
31214, 0.831236, 0.156636
31214, 1, 0.156636
31215, 0.832816, 0.15709
31215, 1, 0.15709
31216, 0.83439, 0.157544
31216, 1, 0.157544
31217, 0.835957, 0.157997
31217, 1, 0.157997
31218, 0.837518, 0.158451
31218, 1, 0.158451
31219, 0.839072, 0.158904
31219, 1, 0.158904
31220, 0.840618, 0.159358
31220, 1, 0.159358
31221, 0.842158, 0.159811
31221, 1, 0.159811
31222, 0.843691, 0.160265
31222, 1, 0.160265
31223, 0.845218, 0.160718
31223, 1, 0.160718
31224, 0.846737, 0.161172
31224, 1, 0.161172
31225, 0.84825, 0.161625
31225, 1, 0.161625
31226, 0.849755, 0.162079
31226, 1, 0.162079
31227, 0.851254, 0.162532
31227, 1, 0.162532
31228, 0.852746, 0.162986
31228, 1, 0.162986
31229, 0.854231, 0.163439
31229, 1, 0.163439
31230, 0.855709, 0.163893
31230, 1, 0.163893
31231, 0.85718, 0.164346
31231, 1, 0.164346
31232, 0.858644, 0.1648
31232, 1, 0.1648
31233, 0.860101, 0.165253
31233, 1, 0.165253
31234, 0.861551, 0.165707
31234, 1, 0.165707
31235, 0.862994, 0.16616
31235, 1, 0.16616
31236, 0.86443, 0.166614
31236, 1, 0.166614
31237, 0.865859, 0.167067
31237, 1, 0.167067
31238, 0.867282, 0.167521
31238, 1, 0.167521
31239, 0.868697, 0.167974
31239, 1, 0.167974
31240, 0.870105, 0.168428
31240, 1, 0.168428
31241, 0.871505, 0.168881
31241, 1, 0.168881
31242, 0.872899, 0.169335
31242, 1, 0.169335
31243, 0.874286, 0.169788
31243, 1, 0.169788
31244, 0.875666, 0.170242
31244, 1, 0.170242
31245, 0.877038, 0.170696
31245, 1, 0.170696
31246, 0.878404, 0.171149
31246, 1, 0.171149
31247, 0.879762, 0.171603
31247, 1, 0.171603
31248, 0.881113, 0.172056
31248, 1, 0.172056
31249, 0.882457, 0.17251
31249, 1, 0.17251
31250, 0.883794, 0.172963
31250, 1, 0.172963
31251, 0.885123, 0.173417
31251, 1, 0.173417
31252, 0.886446, 0.17387
31252, 1, 0.17387
31253, 0.887761, 0.174324
31253, 1, 0.174324
31254, 0.889069, 0.174777
31254, 1, 0.174777
31255, 0.89037, 0.175231
31255, 1, 0.175231
31256, 0.891664, 0.175684
31256, 1, 0.175684
31257, 0.89295, 0.176138
31257, 1, 0.176138
31258, 0.894229, 0.176591
31258, 1, 0.176591
31259, 0.895501, 0.177045
31259, 1, 0.177045
31260, 0.896765, 0.177498
31260, 1, 0.177498
31261, 0.898023, 0.177952
31261, 1, 0.177952
31262, 0.899273, 0.178405
31262, 1, 0.178405
31263, 0.900515, 0.178859
31263, 1, 0.178859
31264, 0.901751, 0.179312
31264, 1, 0.179312
31265, 0.902979, 0.179766
31265, 1, 0.179766
31266, 0.9042, 0.180219
31266, 1, 0.180219
31267, 0.905413, 0.180673
31267, 1, 0.180673
31268, 0.906619, 0.181126
31268, 1, 0.181126
31269, 0.907818, 0.18158
31269, 1, 0.18158
31270, 0.909009, 0.182033
31270, 1, 0.182033
31271, 0.910193, 0.182487
31271, 1, 0.182487
31272, 0.91137, 0.18294
31272, 1, 0.18294
31273, 0.912539, 0.183394
31273, 1, 0.183394
31274, 0.9137, 0.183848
31274, 1, 0.183848
31275, 0.914855, 0.184301
31275, 1, 0.184301
31276, 0.916002, 0.184755
31276, 1, 0.184755
31277, 0.917141, 0.185208
31277, 1, 0.185208
31278, 0.918273, 0.185662
31278, 1, 0.185662
31279, 0.919398, 0.186115
31279, 1, 0.186115
31280, 0.920515, 0.186569
31280, 1, 0.186569
31281, 0.921624, 0.187022
31281, 1, 0.187022
31282, 0.922726, 0.187476
31282, 1, 0.187476
31283, 0.923821, 0.187929
31283, 1, 0.187929
31284, 0.924908, 0.188383
31284, 1, 0.188383
31285, 0.925988, 0.188836
31285, 1, 0.188836
31286, 0.92706, 0.18929
31286, 1, 0.18929
31287, 0.928124, 0.189743
31287, 1, 0.189743
31288, 0.929181, 0.190197
31288, 1, 0.190197
31289, 0.930231, 0.19065
31289, 1, 0.19065
31290, 0.931273, 0.191104
31290, 1, 0.191104
31291, 0.932307, 0.191557
31291, 1, 0.191557
31292, 0.933334, 0.192011
31292, 1, 0.192011
31293, 0.934353, 0.192464
31293, 1, 0.192464
31294, 0.935365, 0.192918
31294, 1, 0.192918
31295, 0.936369, 0.193371
31295, 1, 0.193371
31296, 0.937365, 0.193825
31296, 1, 0.193825
31297, 0.938354, 0.194278
31297, 1, 0.194278
31298, 0.939335, 0.194732
31298, 1, 0.194732
31299, 0.940309, 0.195185
31299, 1, 0.195185
31300, 0.941275, 0.195639
31300, 1, 0.195639
31301, 0.942233, 0.196092
31301, 1, 0.196092
31302, 0.943184, 0.196546
31302, 1, 0.196546
31303, 0.944127, 0.196999
31303, 1, 0.196999
31304, 0.945062, 0.197453
31304, 1, 0.197453
31305, 0.94599, 0.197907
31305, 1, 0.197907
31306, 0.94691, 0.19836
31306, 1, 0.19836
31307, 0.947822, 0.198814
31307, 1, 0.198814
31308, 0.948726, 0.199267
31308, 1, 0.199267
31309, 0.949623, 0.199721
31309, 1, 0.199721
31310, 0.950513, 0.200174
31310, 1, 0.200174
31311, 0.951394, 0.200628
31311, 1, 0.200628
31312, 0.952268, 0.201081
31312, 1, 0.201081
31313, 0.953134, 0.201535
31313, 1, 0.201535
31314, 0.953992, 0.201988
31314, 1, 0.201988
31315, 0.954842, 0.202442
31315, 1, 0.202442
31316, 0.955685, 0.202895
31316, 1, 0.202895
31317, 0.95652, 0.203349
31317, 1, 0.203349
31318, 0.957347, 0.203802
31318, 1, 0.203802
31319, 0.958167, 0.204256
31319, 1, 0.204256
31320, 0.958979, 0.204709
31320, 1, 0.204709
31321, 0.959782, 0.205163
31321, 1, 0.205163
31322, 0.960579, 0.205616
31322, 1, 0.205616
31323, 0.961367, 0.20607
31323, 1, 0.20607
31324, 0.962147, 0.206523
31324, 1, 0.206523
31325, 0.96292, 0.206977
31325, 1, 0.206977
31326, 0.963685, 0.20743
31326, 1, 0.20743
31327, 0.964442, 0.207884
31327, 1, 0.207884
31328, 0.965191, 0.208337
31328, 1, 0.208337
31329, 0.965932, 0.208791
31329, 1, 0.208791
31330, 0.966666, 0.209244
31330, 1, 0.209244
31331, 0.967392, 0.209698
31331, 1, 0.209698
31332, 0.968109, 0.210151
31332, 1, 0.210151
31333, 0.968819, 0.210605
31333, 1, 0.210605
31334, 0.969522, 0.211059
31334, 1, 0.211059
31335, 0.970216, 0.211512
31335, 1, 0.211512
31336, 0.970902, 0.211966
31336, 1, 0.211966
31337, 0.971581, 0.212419
31337, 1, 0.212419
31338, 0.972251, 0.212873
31338, 1, 0.212873
31339, 0.972914, 0.213326
31339, 1, 0.213326
31340, 0.973568, 0.21378
31340, 1, 0.21378
31341, 0.974215, 0.214233
31341, 1, 0.214233
31342, 0.974854, 0.214687
31342, 1, 0.214687
31343, 0.975485, 0.21514
31343, 1, 0.21514
31344, 0.976108, 0.215594
31344, 1, 0.215594
31345, 0.976724, 0.216047
31345, 1, 0.216047
31346, 0.977331, 0.216501
31346, 1, 0.216501
31347, 0.97793, 0.216954
31347, 1, 0.216954
31348, 0.978522, 0.217408
31348, 1, 0.217408
31349, 0.979105, 0.217861
31349, 1, 0.217861
31350, 0.979681, 0.218315
31350, 1, 0.218315
31351, 0.980248, 0.218768
31351, 1, 0.218768
31352, 0.980808, 0.219222
31352, 1, 0.219222
31353, 0.981359, 0.219675
31353, 1, 0.219675
31354, 0.981903, 0.220129
31354, 1, 0.220129
31355, 0.982439, 0.220582
31355, 1, 0.220582
31356, 0.982966, 0.221036
31356, 1, 0.221036
31357, 0.983486, 0.221489
31357, 1, 0.221489
31358, 0.983998, 0.221943
31358, 1, 0.221943
31359, 0.984501, 0.222396
31359, 1, 0.222396
31360, 0.984997, 0.22285
31360, 1, 0.22285
31361, 0.985485, 0.223303
31361, 1, 0.223303
31362, 0.985965, 0.223757
31362, 1, 0.223757
31363, 0.986436, 0.224211
31363, 1, 0.224211
31364, 0.9869, 0.224664
31364, 1, 0.224664
31365, 0.987356, 0.225118
31365, 1, 0.225118
31366, 0.987804, 0.225571
31366, 1, 0.225571
31367, 0.988243, 0.226025
31367, 1, 0.226025
31368, 0.988675, 0.226478
31368, 1, 0.226478
